Team,Player Name,Full Name,Born,Current Age,Batting Style,Bowling Style,Profile,Batting_Test_matches,Batting_Test_Innings,Batting_Test_Runs,Batting_Test_Avg,Batting_ODI_Matches,Batting_ODI_Innings,Batting_ODI_Runs,Batting_ODI_Highest,Batting_ODI_Avg,Batting_TESTs_Highest,Batting_T20I_Matches,Batting_T20I_Innings,Batting_T20I_runs,Batting_T20I_Highest,Batting_T20I_Avg,Batting_T20_Matches,Batting_T20_Innings,Batting_T20_Runs,Batting_T20_Highest,Batting_T20_average,Test_Debut,ODI_Debut,T20 Debut,Image URL-src,T20I_Debut
India,Pankaj Singh,Pankaj Singh,"May 6, 1985, Sultanpur, Uttar Pradesh",29 years 207 days,Bowler,Right-hand bat,"Pankaj Singh, a tall and strapping right-arm medium-fast bowler from Rajasthan, has progressed from the Under-19 level to the India A side with consistent performances since he made his first-class debut in August 2003. By 2006 he started showing signs of having matured, taking Rajasthan to the final of the Ranji Plate league, with 21 wickets at 20.95. In 2007, he was part of India A's twin tour of Zimbabwe and Kenya, and a total of 18 wickets in the unofficial Tests and ODIs in Kenya earned him a spot for the home series against South Africa A. With Sreesanth and Munaf Patel injured, he earned a call-up to India's Test squad to tour Australia. He signed with the Rajasthan Royals in the inaugural IPL before transferring to Royal Challengers Bangalore for the second season. His next big break came when he was included in the limited-overs sides for India's tour of Zimbabwe, when the selectors decided to rest several senior players. After losing his place in the side, Pankaj sought to make a comeback with strong performances on the domestic circuit. He was among the top wicket-takers in the Ranji Trophy between 2009 and 2014 and also produced match-winning efforts for Rajasthan during their title wins in 2010 and 2011. He was finally rewarded for his performances with a spot in India's Test squad on the tour to England in 2014",2,4,10,3.33,1,1,3,3*,-,9,81,113,1208,74,13.57,NA,NA,NA,NA,NA,"England v India at Southampton, Jul 27-31, 2014 scorecard",NA,"Rajasthan v Uttar Pradesh at Jaipur, Apr 4, 2007 scorecard",http://www.espncricinfo.com/inline/content/image/437313.html?alt=1,NA
India,WP Saha,Wriddhiman Prasanta Saha,"October 24, 1984, Shaktigarh",30 years 36 days,Wicketkeeper,Right-hand bat,"Wriddhiman Prasanta Saha was drafted into the Bengal Ranji side after regular wicketkeeper Deep Dasgupta signed up with the Indian Cricket League. He grabbed the chance with both hands, becoming the 15th Bengal player to score a hundred on Ranji debut. Though he managed only one more fifty in the remaining first-class games of the season, he was signed up by the Kolkata Knight Riders for the inaugural season of the Indian Premier League. He managed 318 runs in five games in the 2009-10 Ranji season and was picked in the squad for the first Test for the home series against South Africa. A last-minute injury to Rohit Sharma handed Saha an unexpected debut in Nagpur - as a batsman.",2,4,74,18.5,9,5,41,16,13.66,36,64,101,3770,NA,44.35,NA,NA,NA,NA,NA,"India v South Africa at Nagpur, Feb 6-9, 2010 scorecard","India v New Zealand at Guwahati, Nov 28, 2010 scorecard","Assam v Bengal at Kolkata, Apr 3, 2007 scorecard",http://www.espncricinfo.com/inline/content/image/550719.html?alt=3,NA
New Zealand,CJ Anderson,Corey James Anderson,"December 13, 1990, Christchurch, Canterbury",23 years 351 days,Left-hand bat,Left-arm medium-fast,"Corey Anderson had always been known for his powerful striking, but he took it to a new level on New Year's Day 2014 when he broke the world record for the fastest ODI hundred with a 36-ball blitzkrieg against West Indies in Queenstown. It came at a time, a few months after he scored a century in his second Test, that Anderson was suggesting he was ready to fulfill the potential spotted in him as a teenager.",9,15,407,29.07,15,13,425,131*,42.5,116,14,9,97,NA,12.12,51,38,612,NA,18.54,"Bangladesh v New Zealand at Chittagong, Oct 9-13, 2013 scorecard","England v New Zealand at Cardiff, Jun 16, 2013 scorecard","Otago v Canterbury at Dunedin, Feb 4, 2009 scorecard",http://www.espncricinfo.com/inline/content/image/640095.html?alt=1,"South Africa v New Zealand at Durban, Dec 21, 2012 scorecard"
New Zealand,NT Broom,Neil Trevor Broom,"November 20, 1983, Christchurch, Canterbury",31 years 9 days,Right-hand bat,Right-arm medium,"A right-hand middle-order batsman, Neil Broom learnt his cricket in Christchurch and represented Canterbury for three seasons from his first-class debut in 2002-03 before shifting to Otago. He was Otago's leading run-scorer in the 2006-07 season with 644 runs and moved closer to national selection two years later, when he was included in the New Zealand squads for the Emerging Players tournament and the A tour of India. He made the New Zealand one-day squad against the touring West Indians - as a replacement for the injured Scott Styris - on the back of a good State Championship season, during which he averaged over 63 in four games. Aside from cricket, Broom played a lot of golf and practiced judo as a youngster. He is a product of East Christchurch Shirley, the same club which produced Craig McMillan and Nathan Astle. 
Cricinfo Staff December 2008",22,22,333,17.52,10,6,67,36,13.4,71,100,166,5647,NA,38.41,NA,NA,NA,NA,NA,NA,"New Zealand v West Indies at Auckland, Jan 10, 2009 scorecard","Canterbury v Otago at Christchurch, Jan 13, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/407368.html?alt=1,"Australia v New Zealand at Sydney, Feb 15, 2009 scorecard"
New Zealand,NL McCullum,Nathan Leslie McCullum,"September 1, 1980, Dunedin, Otago",34 years 89 days,Bowler,Right-hand bat,"The older brother of Brendon McCullum, Nathan McCullum is an offspinning allrounder from Otago who joined his sibling at the ICC World Twenty20 in South Africa. After missing out on the final Champions Trophy squad, McCullum was promoted to the senior ranks following a strong Emerging Players Tournament in Australia, which included a haul of 4 for 41 against the Academy. He had little to cheer about in his only World Twenty20 outing, as he was run out for 1 and was not asked to bowl. McCullum's first-class debut arrived in 1999-2000 and since then he has added six half-centuries and one five-wicket haul. In the 2006-07 State Championship he collected 240 runs at 26.66 with a high of 61 and 14 wickets at 56.42. His economy rate was a strong 3.88 per over in the one-day competition and he added nine wickets in 11 games.
Cricinfo staff September 2007",69,54,955,20.31,55,33,270,36*,12.27,65,64,101,2288,NA,25.14,NA,NA,NA,NA,NA,NA,"Sri Lanka v New Zealand at Colombo (RPS), Sep 8, 2009 scorecard","Canterbury v Otago at Christchurch, Jan 13, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/799043.html?alt=3,"South Africa v New Zealand at Durban, Sep 19, 2007 scorecard"
New Zealand,IS Sodhi,Inderbir Singh Sodhi,"October 31, 1992, Ludhiana, India",22 years 29 days,Right-hand bat,Legbreak,"There is little in Ish Sodhi's statistics to suggest he is an international-quality legspinner, but New Zealand's selectors have seen enough in his aggressive approach and keen attitude to hand him a Test debut after only one full season of first-class cricket. Known chiefly for the turn he generates and the flight he fearlessly trusts, Sodhi's journey to top-level cricket has been a triumph of determination over significant odds.",10,15,315,26.25,2,1,0,0*,-,63,31,46,911,63,22.21,NA,NA,NA,NA,NA,"Bangladesh v New Zealand at Chittagong, Oct 9-13, 2013 scorecard",NA,"Northern Districts v Wellington at Mount Maunganui, Jan 1, 2013 scorecard",http://www.espncricinfo.com/inline/content/image/575886.html,"West Indies v New Zealand at Roseau, Jul 5, 2014 scorecard"
New Zealand,AF Milne,Adam Fraser Milne,"April 13, 1992, Palmerston North",22 years 230 days,Right-hand bat,Right-arm fast-medium,"A lanky right-arm medium-fast bowler, Adam Milne made a dream first-class debut as an 18-year-old in the 2009-10 season, taking a wicket with his second ball and finishing with 4 for 52 against Canterbury. The call-up only came because Michael Mason was called up to the New Zealand team due to Jacob Oram's injury. Milne was included in Central District's Twenty20 squad for the Champions League 2010 even though he didn't play a single game for them in the domestic HRV Cup. He played two matches in the tournament and impressed with his pace.
Milne was included in New Zealand's squad for their Twenty20 series against Pakistan in December 2010. He was taken for runs in that series, and injuries disrupted his first-class career, before he returned to the headlines, being picked in New Zealand's squad for the 2012 World Twenty20 in Sri Lanka.
Cricinfo staff",7,1,12,-,6,2,3,3*,-,NA,13,18,257,97,28.55,NA,NA,NA,NA,NA,NA,"Sri Lanka v New Zealand at Hambantota, Nov 10, 2012 scorecard","Central Districts v Chennai Super Kings at Durban, Sep 11, 2010 scorecard",http://www.espncricinfo.com/inline/content/image/582448.html?alt=1,"New Zealand v Pakistan at Auckland, Dec 26, 2010 scorecard"
New Zealand,BB McCullum,Brendon Barrie McCullum,"September 27, 1981, Dunedin, Otago",33 years 63 days,Wicketkeeper batsman,Right-hand bat,"Brash, brutal and brilliant to watch, Brendon McCullum can bruise bowling attacks like few other men in international cricket. A wicketkeeper-batsman, McCullum has been used throughout the New Zealand batting order, but whenever he arrives at the crease it's impossible to look away. He muscles balls over both sides of the field and was responsible for getting the IPL off to an electrifying start, lighting up the tournament's first match with 158 and showing what the format had to offer.",89,155,5451,37.08,232,201,5200,166,30.05,302,70,69,2105,123,35.67,197,194,5570,NA,32.01,"New Zealand v South Africa at Hamilton, Mar 10-14, 2004 scorecard","Australia v New Zealand at Sydney, Jan 17, 2002 scorecard","New Zealand v Australia at Auckland, Feb 17, 2005 scorecard",http://www.espncricinfo.com/inline/content/image/799053.html?alt=3,"New Zealand v Australia at Auckland, Feb 17, 2005 scorecard"
New Zealand,RJ Nicol,Robert James Nicol,"May 28, 1983, Auckland",31 years 185 days,Right-hand bat,"Right-arm medium, Right-arm offbreak","A batting allrounder who bowls right-arm medium pace and offspin, Rob Nicol made an instant name in one-day internationals when he scored a century on his debut game, against Zimbabwe, to become only the seventh batsman, and the second from New Zealand, to achieve this feat.",2,4,28,7,22,21,586,146,30.84,19,21,19,327,58,17.21,89,78,1925,NA,27.5,"New Zealand v South Africa at Dunedin, Mar 7-11, 2012 scorecard","Zimbabwe v New Zealand at Harare, Oct 20, 2011 scorecard","Northern Districts v Auckland at Hamilton, Jan 20, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/799005.html?alt=3,"New Zealand v Sri Lanka at Lauderhill, May 22, 2010 scorecard"
New Zealand,DL Vettori,Daniel Luca Vettori,"January 27, 1979, Auckland",35 years 306 days,Allrounder,Left-hand bat,"Daniel Vettori has been on the international scene so long it is sometimes hard to believe he has only recently crossed into his thirties. The youngest man to play Test cricket for New Zealand, at the age of 18, he is one of only eight players to have managed the double of 300 Test wickets and 3000 runs. With time on his side, he could one day creep up towards Hadlee's 431 Test dismissals, but to do that Vettori would need to avoid the stress fractures in his back that troubled him earlier in his career. He also cannot afford another form slump like the one he suffered in 2003-04.",112,173,4516,30.1,277,175,2111,83,17.02,140,33,21,205,38,13.66,128,81,1037,57,17.57,"New Zealand v England at Wellington, Feb 6-10, 1997 scorecard","New Zealand v Sri Lanka at Christchurch, Mar 25, 1997 scorecard","Northern Districts v Auckland at Hamilton, Jan 20, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/799079.html?alt=3,"Kenya v New Zealand at Durban, Sep 12, 2007 scorecard"
New Zealand,KS Williamson,Kane Stuart Williamson,"August 8, 1990, Tauranga",24 years 113 days,Middle-order batsman,Right-hand bat,"Kane Williamson, a right-hand top-order batsman, made his first-class debut in 2006-07 and played his first Under-19 game against the visiting Indians soon after. Born into a cricketing family - his father also represented Northern Districts at U-17 level - he was voted Player of the Tournament at the Gillette Cup schools' competition in 2007 and scored 47 off 65 balls against a senior Bangladeshi side in a rain-affected game at the end of the year. He is a part-time offspinner as well, and led New Zealand in the U-19 World Cup in Malaysia in 2008. His form in the 2009-10 domestic season was outstanding, prompting the selectors to pick him in the squad for the second Test against Australia in Hamilton. He was the highest run-scorer in the NZC one-day competition that season with 621 runs at 77.62 and he was rewarded with a call-up to the New Zealand one-day squad for the tri-series in Sri Lanka.",36,66,2446,38.82,54,49,1699,145*,39.51,NA,19,17,408,51,29.14,72,65,1373,NA,23.67,"India v New Zealand at Ahmedabad, Nov 4-8, 2010 scorecard","India v New Zealand at Dambulla, Aug 10, 2010 scorecard","Canterbury v Northern Districts at Christchurch, Feb 6, 2009 scorecard",http://www.espncricinfo.com/inline/content/image/798953.html?alt=3,"Zimbabwe v New Zealand at Harare, Oct 15, 2011 scorecard"
New Zealand,LRPL Taylor,Luteru Ross Poutoa Lote Taylor,"March 8, 1984, Lower Hutt, Wellington",30 years 266 days,Middle-order batsman,Right-hand bat,"Ross Taylor could be just what New Zealand need in the wake of the mass of departures from their batting line-up: an aggressive top-order batsman capable of taking up the challenge to world-class attacks. He made a flying start to the domestic 2005-06 season, with three centuries, and was soon in his country's limited-overs side. In only his third match, Taylor hammered a superb 128 against Sri Lanka at Napier and he followed it up with 84 at better than a run a ball in his first ODI outside New Zealand, at Hobart against Australia in January 2007. But in both matches he suffered from cramps and would be keen to eradicate that problem as he strives for more lengthy innings. He scores heavily from the pull and from slog-sweeping the spinners and his free-flowing game has made him a hit with crowds. There was evidence of that during the IPL and Champions League  when the Bangalore crowds cheered him as their 'local' hero.",59,108,4500,45.91,137,125,4328,131*,40.07,NA,61,55,1109,63,24.64,190,177,4243,NA,29.88,"South Africa v New Zealand at Johannesburg, Nov 8-11, 2007 scorecard","New Zealand v West Indies at Napier, Mar 1, 2006 scorecard","Central Districts v Canterbury at Napier, Jan 22, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/798999.html?alt=3,"New Zealand v Sri Lanka at Wellington, Dec 22, 2006 scorecard"
New Zealand,DG Brownlie,Dean Graham Brownlie,"July 30, 1984, Perth, Western Australia",30 years 122 days,Right-hand bat,Right-arm medium,"Dean Brownlie is a middle-order batsman who made his first-class debut for Canterbury in the 2010-11 season. He was born in Perth, Western Australia and only moved to New Zealand in 2009, qualifying to play for them through his Christchurch-born father, Jim. Brownlie made a Twenty20 international debut during the home matches against Pakistan in December 2010, and also had a productive domestic season, making 918 runs at an average of 48.31. He made the cut when New Zealand selected their squad for the tour of Zimbabwe in October 2011 and received his Test cap from Chris Harris in Bulawayo. He made an instant impression too at Test level, scoring three half-centuries in his first six innings, including 77 not out, 42 and 56 in difficult batting conditions in Australia.
ESPNcricinfo Staff",14,25,711,29.62,6,5,66,24,16.5,109,4,4,6,5,1.5,47,44,882,86,21,"Zimbabwe v New Zealand at Bulawayo, Nov 1-5, 2011 scorecard","New Zealand v Zimbabwe at Dunedin, Feb 3, 2012 scorecard","Canterbury v Otago at Christchurch, Jan 8, 2010 scorecard",http://www.espncricinfo.com/inline/content/image/635786.html?alt=1,"New Zealand v Pakistan at Auckland, Dec 26, 2010 scorecard"
New Zealand,MD Craig,Mark Donald Craig,"March 23, 1987, Auckland",27 years 251 days,Left-hand bat,Right-arm offbreak,"An offspinner whose cricket career was initially blighted by chronic fatigue syndrome, Mark Craig was a surprise inclusion for New Zealand's Test tour of the West Indies in 2014 when Daniel Vettori and Jeetan Patel were both unavailable. However, he justified that inclusion immediately, taking 8 for 188 in his debut Test, in Jamaica, and spinning New Zealand to only their second Test win in the Caribbean. His figures were the best by a New Zealand bowler on debut, and he became only the third player from the country - after Stephen Fleming and Mathew Sinclair - to win a Man-of-the-Match award on Test debut.",5,9,234,39,30,44,958,93,24.56,67,4,4,55,22,13.75,NA,NA,NA,NA,NA,"West Indies v New Zealand at Kingston, Jun 8-11, 2014 scorecard",NA,"Otago v Canterbury at Dunedin, Feb 4, 2009 scorecard",http://www.espncricinfo.com/inline/content/image/667403.html?alt=1,NA
New Zealand,C Munro,Colin Munro,"March 11, 1987, Durban",27 years 263 days,Batsman,Left-hand bat,"Colin Munro is a hard-hitting batsman who made his first-class debut in 2006, but didn't really make a big impact in the longer form of the game till the 2011-12 season, when he scored a century and three fifties for Auckland. Next season he did even better, scoring three centuries in six innings, including a whirlwind unbeaten 269 off 252 balls against Wellington. He was rewarded with a call-up to the New Zealand squad for the tour to South Africa, and played in three Twenty20 internationals at the start of that tour. He made his Test debut soon after, in the second Test at Port Elizabeth.",1,2,15,7.5,7,6,167,85,27.83,15,14,12,194,NA,21.55,68,58,1154,NA,26.83,NA,"South Africa v New Zealand at Kimberley, Jan 22, 2013 scorecard","Auckland v Central Districts at Auckland, Dec 3, 2010 scorecard",http://www.espncricinfo.com/inline/content/image/798967.html?alt=3,"South Africa v New Zealand at Durban, Dec 21, 2012 scorecard"
New Zealand,TWM Latham,Thomas William Maxwell Latham,"April 2, 1992, Christchurch, Canterbury",22 years 241 days,Left-hand bat,Right-arm medium,"The son of the former New Zealand allrounder Rod Latham, Tom Latham is a versatile opening batsman whose early performances in Test cricket suggest he could fill that troublesome position for some time. He was named in New Zealand's squad for the Under-19 World Cup in 2010 and later that year made his first-class debut for Canterbury. Though he struggled to make an impact in first-class cricket, impressive performances in the shorter formats, including a maiden professional hundred in the Ford Trophy in January 2012, earned him a place in New Zealand's limited-over squad for their home series against Zimbabwe in 2012. However, it was a return to opening the innings in domestic cricket during the 2013 season which proved most significant as, following a Test debut at No. 4 against India at Wellington, he was promoted to that role in West Indies and responded with three consecutive half-centuries in the series. A maiden hundred followed against Pakistan in Abu Dhabi, putting him level with his father's Test ton tally, and in the next match he doubled that to become the first New Zealand opener in 24 years to achieve to score hundreds in consecutive Tests. 
ESPNcricinfo staff",6,12,586,48.83,16,15,325,86,25,137,9,6,83,22,13.83,34,26,573,64,23.87,"New Zealand v India at Wellington, Feb 14-18, 2014 scorecard","New Zealand v Zimbabwe at Dunedin, Feb 3, 2012 scorecard","Canterbury v Central Districts at Rangiora, Jan 8, 2012 scorecard",http://www.espncricinfo.com/inline/content/image/635789.html?alt=1,"New Zealand v West Indies at Lauderhill, Jun 30, 2012 scorecard"
New Zealand,BJ Watling,Bradley-John Watling,"July 9, 1985, Durban, South Africa",29 years 143 days,Right-hand bat,Wicketkeeper,"A right-handed opening batsman and part-time wicketkeeper, Bradley-John Watling spent his early years in Durban, South Africa, before moving to New Zealand as a ten-year-old. He was part of the Under-19 squad for the World Cup in Bangladesh in 2003-04 before making it to the Northern Districts squad. He was the second-highest run-scorer for his state team in his third season (2006-07) with 564 runs at 37.60. He was in prime form during the one-day State Shield competition in 2008-09 with 509 runs at a stunning 63.62 and that helped him earn a place in the New Zealand one-day squad for the ODIs in the UAE against Pakistan.
 
In 2010, after Brendon McCullum decided to keep wicket for New Zealand only in the ODIs, Watling emerged as the best long-term prospect for New Zealand in Tests, among contenders like Gareth Hopkins, Reece Young and Kruger van Wyk. Between 2009 and 2012, he played only eight Tests - the first six as a specialist batsman - before settling into the role of New Zealand's full-time wicketkeeper for the longer format in 2013. 
 
Apart from being tidy behind the stumps, Watling's batting has also been impressive. Against India in February 2014, Watling and McCullum put together a record sixth-wicket partnership of 352 in Wellington. Watling's 124 in that Test was his first century against a top-eight nation. On the tour of West Indies, Watling's battling 66 and his 99-run partnership with Mark Craig delayed a West Indies win in Port-of-Spain. His efforts prompted McCullum to state that Watling was becoming one of his favourite cricketers.
ESPNcricinfo staff",26,45,1391,35.66,22,20,528,96*,29.33,124,5,4,38,22,9.5,60,53,990,75,21.52,"New Zealand v Pakistan at Napier, Dec 11-15, 2009 scorecard","Sri Lanka v New Zealand at Dambulla, Aug 13, 2010 scorecard","Northern Districts v Wellington at Hamilton, Jan 17, 2008 scorecard",http://www.espncricinfo.com/inline/content/image/798981.html?alt=3,"New Zealand v Pakistan at Dubai (DSC), Nov 12, 2009 scorecard"
New Zealand,HK Bennett,Hamish Kyle Bennett,"February 22, 1987, Timaru",27 years 280 days,Bowler,Left-hand bat,"Hamish Bennett, a fast bowler for Canterbury, received his first New Zealand call-up for the tour of Bangladesh in 2010. He made his first-class debut in 2005 and was part of New Zealand's squad for the Under-19 World Cup in 2006. He has been a solid performer for Canterbury and New Zealand A and the highlight of his budding career was the 7 for 50 he took to help Canterbury win the State Championship final in 2008.
ESPNcricinfo Staff September 2010",1,1,4,4,14,7,10,4*,5,4,42,43,177,NA,8.42,NA,NA,NA,NA,NA,NA,"Bangladesh v New Zealand at Dhaka, Oct 14, 2010 scorecard","Australia A v New Zealand A at Darwin, Jul 9, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/501371.html?alt=1,NA
New Zealand,AJ Redmond,Aaron James Redmond,"September 23, 1979, Auckland",35 years 67 days,Right-hand bat,Legbreak,"Brought up in Australia before heading across the Tasman, Aaron Redmond transformed himself from a legspinner with Canterbury to a hard-working top-order batsman for Otago. His returns have been solid rather than spectacular, but coupled with New Zealand's poor results from their top order and a consistent 2007-08 season where he averaged 40, Redmond earned a call-up to the Test squad to tour England in 2008. He found the top level a tough challenge with just 54 runs in three Tests, but showed his worth in the tour of Australia, scoring 83 in Adelaide. Redmond was instrumental in guiding Otago to the State Twenty20 title in 2008-09, a passport to the Champions League.",8,16,325,21.66,6,6,152,52,25.33,83,7,6,126,63,21,77,70,1573,NA,23.47,"England v New Zealand at Lord's, May 15-19, 2008 scorecard","New Zealand v Pakistan at Johannesburg, Oct 3, 2009 scorecard","Canterbury v Otago at Christchurch, Jan 13, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/457482.html?alt=1,"Ireland v New Zealand at Nottingham, Jun 11, 2009 scorecard"
New Zealand,JDS Neesham,James Douglas Sheahan Neesham,"September 17, 1990, Auckland",24 years 73 days,Jimmy Neesham,Left-hand bat,"A promising allrounder, Jimmy Neesham made his international debut in a Twenty20 international on New Zealand's tour to South Africa in 2012-13, following some impressive performances in the shorter formats in the domestic season.",6,12,487,44.27,14,11,143,42*,17.87,NA,9,7,61,NA,12.2,48,36,642,NA,26.75,"New Zealand v India at Wellington, Feb 14-18, 2014 scorecard","South Africa v New Zealand at Paarl, Jan 19, 2013 scorecard","Central Districts v Auckland at New Plymouth, Jan 31, 2010 scorecard",http://www.espncricinfo.com/inline/content/image/728253.html,"South Africa v New Zealand at Durban, Dec 21, 2012 scorecard"
New Zealand,TG Southee,Timothy Grant Southee,"December 11, 1988, Whangarei, Northland",25 years 353 days,Bowler,Right-hand bat,"Tim Southee, a right-arm swing bowler, burst upon the international scene in great style when still only 19. Handed his Test debut against England in Napier, Southee responded with 5 for 55 before smashing 77 off 40 balls in the second innings with nine sixes to hint at a bright all-round future. He bettered that performance with 7 for 64 against India in Bangalore in 2012, also the best figures by a New Zealand bowler in India. Allan Donald had stated that Southee had the potential to become the best swing bowler in the world. His ability to generate late outswing at a brisk pace makes him a good attacking bowler in Tests; and his 2011 World Cup performance of 18 wickets at 17.33 suggested that he could be quite a handful in ODIs as well, when not affected by fitness worries.",36,60,959,17.75,80,46,318,32,10.6,NA,37,14,75,23,8.33,101,49,398,74,10.47,"New Zealand v England at Napier, Mar 22-26, 2008 scorecard","England v New Zealand at Chester-le-Street, Jun 15, 2008 scorecard","Northern Districts v Central Districts at Hamilton, Jan 13, 2007 scorecard",http://www.espncricinfo.com/inline/content/image/798955.html?alt=3,"New Zealand v England at Auckland, Feb 5, 2008 scorecard"
Pakistan,Sohail Tanvir,Sohail Tanvir,"December 12, 1984, Rawalpindi, Punjab",29 years 352 days,Bowler,Left-hand bat,"The Rawalpindi born allrounder made his first-class debut against Peshawar in October 2004 but failed to impress with bat or ball. However, in his second match, against Multan, Sohail Tanvir scored an unbeaten 97 while taking three wickets but has played only 17 first-class matches since (a total of 19 in three seasons).",2,3,17,5.66,59,37,357,59,12.75,13,40,17,129,41,9.92,168,104,1223,NA,16.3,"India v Pakistan at Delhi, Nov 22-26, 2007 scorecard","Pakistan v South Africa at Lahore, Oct 18, 2007 scorecard","Quetta Bears v Rawalpindi Rams at Lahore, Apr 25, 2005 scorecard",http://www.espncricinfo.com/inline/content/image/800225.html?alt=3,"India v Pakistan at Durban, Sep 14, 2007 scorecard"
Pakistan,Raza Hasan,Raza Hasan,"July 8, 1992, Sialkot, Punjab",22 years 144 days,Raza Hassan,Right-hand bat,"Raza Hasan - not to be confused with his namesake, the world's youngest Test debutant - made an immediate impact with his left-arm spin, taking 3 for 24 on his first-class debut to help bowl Sui Northern Gas Pipelines Limited to an innings victory. He was in outstanding form against Zimbabwe Under-19, taking nine wickets in the series, and earned a call-up for the Under-19 World Cup in New Zealand. After a good showing in the World Cup, he was picked for the A squad to play England Lions in UAE. He then had a stint in league cricket at Devon, UK, after which he was called up to the Pakistan squad for the tour of England in 2010 but didn't get a game. He had his best returns in the 2011-12 first-class season, taking 44 wickets, and that earned another call-up to the national side, to tour Sri Lanka in 2012.
 ESPNcricinfo staff",1,1,0,0,8,3,18,13*,-,0,29,36,413,57,17.2,NA,NA,NA,NA,NA,NA,NA,"Karachi Zebras v Rawalpindi Rams at Karachi, Mar 2, 2010 scorecard",http://www.espncricinfo.com/inline/content/image/800271.html?alt=3,"Australia v Pakistan at Dubai (DSC), Sep 5, 2012 scorecard"
Pakistan,Saad Nasim,Hafiz Saad Nasim,"April 29, 1990, Lahore, Punjab",24 years 214 days,Right-hand bat,Legbreak,NA,1,1,25,25,52,89,2312,114*,29.26,25,33,30,777,113,27.75,NA,NA,NA,NA,NA,NA,NA,"Hyderabad Hawks v Lahore Eagles at Karachi, Mar 2, 2010 scorecard",http://www.espncricinfo.com/inline/content/image/775233.html?alt=1,NA
Pakistan,Sharjeel Khan,Sharjeel Khan,"August 14, 1989, Hyderabad, Sind",25 years 107 days,Left-hand bat,Legbreak,NA,11,11,194,17.63,3,3,102,50,34,61,61,110,4034,279,37.7,NA,NA,NA,NA,NA,NA,"Pakistan v Sri Lanka at Sharjah, Dec 18, 2013 scorecard","Hyderabad Hawks v Karachi Dolphins at Karachi, Feb 28, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/701501.html?alt=1,"Afghanistan v Pakistan at Sharjah, Dec 8, 2013 scorecard"
Pakistan,Shan Masood,Shan Masood Khan,"October 14, 1989, Kuwait",25 years 46 days,Shaan Masood,Shaani,"A solid and technically sound left-hand opener, Shan Masood made it to the international side after impressing consistently at junior-level cricket. With Pakistan struggling to put together a solid opening combination, Masood was the option they turned to in the Test series against South Africa in the UAE.",3,6,149,24.83,64,108,3525,199,34.55,75,30,28,738,76,32.08,NA,NA,NA,NA,NA,"Pakistan v South Africa at Abu Dhabi, Oct 14-17, 2013 scorecard",NA,"Hyderabad Hawks v Islamabad Leopards at Faisalabad, Jun 25, 2011 scorecard",http://www.espncricinfo.com/inline/content/image/759267.html?alt=1,NA
Pakistan,Taufeeq Umar,Taufeeq Umar,"June 20, 1981, Lahore, Punjab",33 years 162 days,Left-hand bat,Right-arm offbreak,"A left-hand opener from Lahore, Taufeeq Umar first made his mark in the Lombard World Under-15 Challenge in England in 1996. He made 87 against England in the semi-final, and in the final, which Pakistan lost to India, he opened with Hasan Raza, who was to play Test cricket shortly afterwards. A front-foot player who drives well, Taufeeq is nonetheless a good cutter. He can also bowl some handy offspin. Taufeeq could not have asked for an easier initiation into international cricket - he played his first Test against Bangladesh in 2001, and duly notched up a hundred to become the eighth player to score a century on Test debut for Pakistan. But far more impressive were his subsequent performances - an 88 against a top-class Australian attack was followed by a flawless 135 against South Africa in Cape Town in 2003. On those bouncy pitches, Taufeeq had ample time to play the seamers. He did not get much opportunity in the World Cup, but showed himself to be an absolute asset in Pakistan's home series against South Africa, scoring a hundred and three fifties in four innings.",44,83,2963,37.98,22,22,504,81*,24,236,156,273,9544,236,36.99,NA,NA,NA,NA,NA,"Pakistan v Bangladesh at Multan, Aug 29-31, 2001 scorecard","Pakistan v Sri Lanka at Sharjah, Oct 27, 2001 scorecard","Australia A v Pakistanis at Adelaide, Jan 13, 2005 scorecard",http://www.espncricinfo.com/inline/content/image/512515.html?alt=1,NA
Pakistan,Saeed Ajmal,Saeed Ajmal,"October 14, 1977, Faisalabad, Punjab",37 years 46 days,Bowler,Right-hand bat,"A modern-day offspinner who relies on the doosra as much as on other variations of flight and speed, Saeed Ajmal made a relatively late entry into international cricket, at the age of 30, but is doing his best to make up for lost time, quickly moving up to be regarded among the best spinners in the game today. Ajmal didn't play his first Test till almost 32, but showed immediately that he belonged, taking five wickets in his debut Test against Sri Lanka in Galle in 2009.",35,53,451,11,111,69,324,33,7.2,50,63,23,91,NA,8.27,145,44,181,NA,7.86,"Sri Lanka v Pakistan at Galle, Jul 4-7, 2009 scorecard","Pakistan v India at Karachi, Jul 2, 2008 scorecard","Faisalabad Wolves v Quetta Bears at Lahore, Apr 26, 2005 scorecard",http://www.espncricinfo.com/inline/content/image/800213.html?alt=3,"Australia v Pakistan at Dubai (DSC), May 7, 2009 scorecard"
